zh-CN,en-US
DNB制备完成后，DNB加载前,After making DNBs and before loading DNBs
1 h~4 h：可风险上机,1 h to 4 h: Sequencing may be performed at risk
＜1 h：可上机测序,＜1 h: Sequencing can be performed normally
手动制备DNB完成后，测序试剂槽已解冻、混匀且插件已放置，但不能立刻上机,"After making DNBs is completed manually, the Sequencing Reagent Cartridge has been thawed and mixed and has the inserts loaded, but cannot be used for sequencing immediately"
测序仪制备DNB完成，但是在DNB加载前终止,The sequencing run is stopped after DNB making by the sequencer but before DNB loading
＜8 h：可上机测序或续测,＜8 h: Sequencing or sequencing resumption can be performed normally
DNB加载完成后的任意阶段，测序终止,The sequencing run is stopped at any phase after DNB loading is completed
8 h~24 h：可风险上机或续测,8 h to 24 h: Sequencing or sequencing resumption may be performed at risk
＜4 h：可上机测序或续测,＜4 h: Sequencing or sequencing resumption can be performed normally
DNB加载完成后,After loading DNBs
使用测序仪制备DNB时，测序试剂槽已解冻、混匀且插件已放置，但不能立刻上机,"Before the sequencer makes DNBs, the Sequencing Reagent Cartridge has been thawed and mixed and has the inserts loaded, but cannot be used for sequencing immediately"
24 h~48 h：可风险续测,24 h to 48 h: Sequencing resumption may be performed at risk
＜24 h：可续测,＜24 h: Sequencing resumption can be performed normally
＜48 h：可续测,＜48 h: Sequencing resumption can be performed normally
准备测序样本,Preparing samples
“装载耗材”界面报错,What should I do if error messages appear in the Load consumables interface?
技术支持（US）,Technical support (US)
技术支持（Canada）,Technical support (Canada)
例2 PE单barcode测序，Barcode读长不等于10,Example 2: Single-barcode PE sequencing with the read length for Barcode not equal to 10
例3 PE双barcode测序，Barcode和DualBarcode读长不同,Example 3: Dual barcode PE sequencing with different read lengths for Barcode and DualBarcode
例6 PE双barcode测序，Barcode和DualBarcode测序前置,Example 6: Dual barcode PE sequencing with pre-sequencing of Barcode and DualBarcode
客服中心,Customer service (US & Canada)
缩略语,Acronyms and abbreviations
T7+三合一,DNBSEQ-T7+RS Genetic Sequencer System Guide
更换废液桶,Replacing the waste container
测序时长,Sequencing time
订购信息,Order information
Barcode文件说明,Barcode file introduction
仪器维护与保养,Device maintenance
自定义测序方案,Customizing a sequencing recipe
试剂槽暂存,What rules should I follow if I need to store a sequencing reagent kit temporarily?
Barcode文件,Barcode file
自定义测序方案示例,Examples of customized sequencing recipes
产品中有害物质的名称及含有信息表,RoHS information
SE/PE测序的MGI Barcode文件,MGI Barcode file for SE or PE sequencing
计算文库pooling数,Calculating the number of samples to be pooled together
准备清洗试剂槽和测序试剂槽,Preparing the Washing Cartridge and Sequencing Reagent Cartridge
测序,Sequencing
自定义测序方案指导,Instructions for customizing a sequencing recipe
配件安全,Component safety
测序数据,Sequencing data
例1 PE测序，一链和二链测序读长不同,Example 1: PE sequencing with different read lengths for Read1 and Read2
SE/PE测序的App Barcode文件,App Barcode file for SE or PE sequencing
文件架构,Folder structure
例2 PE单Barcode测序，Barcode读长不等于10,Example 2: Single-barcode PE sequencing with the read length for Barcode not equal to 10
SE测序的MGI与App混测Barcode文件,MGI and App mixed sequencing Barcode file for SE sequencing
测序结果文件,Sequencing output files
例3 PE双Barcode测序，Barcode和DualBarcode读长不同,Example 3: Dual barcode PE sequencing with different read lengths for Barcode and DualBarcode
试剂常见问题,Reagent FAQs
手动制备DNB,Making DNBs manually
PE测序的MGI与App混测Barcode文件,MGI and App mixed sequencing Barcode file for PE sequencing
例4 设置暗反应的PE测序,Example 4: PE sequencing with dark reactions
装载耗材界面,Load consumables interface
准备辅助设备及耗材,Preparing user-supplied equipment and consumables
自定义引物替换,Instructions for customizing primers
Barcode与DualBarcode文件,Barcode and DualBarcode file
文件类型说明,File type description
例5 UMI+UDI,Example 5: UMI+UDI
准备清洗试剂1,Preparing washing reagent 1
SE/PE测序的MGI Barcode与DualBarcode文件,MGI Barcode and DualBarcode file for SE or PE sequencing
设置界面,Settings interface
样本DNB定量操作指导,Instructions for using Qubit to quantify the DNBs
例6 PE双Barcode测序，Barcode和DualBarcode测序前置,Example 6: Dual barcode PE sequencing with pre-sequencing of Barcode and DualBarcode
SE/PE测序的App Barcode与DualBarcode文件,App Barcode and DualBarcode file for SE or PE sequencing
进行自动清洗,Performing an automatic wash
报告参数说明,Report parameters
测序工作流程,Workflow
开机,Powering the device on
Summary 报告,Summary report
测序试剂套装介绍,Sequencing reagent sets overview
SE测序的MGI与App混测Barcode与DualBarcode文件,MGI and App mixed sequencing Barcode and DualBarcode file for SE sequencing
芯驱无法正常弹出或弹出卡滞,What should I do if the flow cell drive fails to pop out properly or becomes stuck during operation?
导入Barcode文件指导,Instructions for importing a barcode file
Summary 报告图表说明,Diagram description
PE测序的MGI与App混测Barcode与DualBarcode文件,MGI and App mixed sequencing Barcode and DualBarcode file for PE sequencing
测序试剂套装,Available sequencing reagent set list
下载Barcode文件模板,Downloading the barcode file template
术语表,Glossary
测序仪制备DNB,Making DNBs using the sequencer
测序试剂套装组分清单,Component list of sequencing reagent sets
上传设置,Upload setting
其他报告,Other reports
进行断点续测,What should I do if I want to resume a stopped sequencing run?
准备Barcode文件,Preparing a barcode file
测序读长,Sequencing read length
导入Barcode文件,Importing the barcode file
界面提示废液仓状态异常,"What should I do if a message appears, indicating that the status of the waste container compartment is abnormal?"
准备清洗试剂1&2,Preparing washing reagents 1 & 2
基本部件,Basic components
DNBSEQ-T7+RS 基因测序仪快速操作指南_中文_RUO_WH,DNBSEQ-T7+RS Genetic Sequencer Quick Start Guide_English_RUO_WH
检查Barcode平衡性,Verifying the base balance for the barcode
DNBSEQ-T7+RS 基因测序仪快速操作指南,DNBSEQ-T7+RS Genetic Sequencer Quick Start Guide
准备清洗试剂1、清洗与测序试剂槽,"Preparing washing reagent 1, the Washing Cartridge, and the Sequencing Reagent Cartridge"
在主界面，点击A操作区的，进入装载耗材界面，完成插件、测序试剂槽、清洗试剂槽、废液桶和载片的放置。,"In the main interface, tap in the operation area A to go to the Load consumables interface. Place the inserts, Sequencing Reagent Cartridge, Washing Cartridge, waste container, and flow cell into the corresponding positions."
编号,Part No.:
2025年9月,September 2025
修订日期,Release Date:
2025年8月,August 2025
修订日期,Revised on
H-020-001185-00,H-020-001186-00
点击 重启，重新进行系统初始化与开机自检。,Tap to restart the computer and perform a self-check again.
在登录界面输入用户名adminstrator和密码Password123，点击登录，进入主界面。,"Input the usernameadministratorand passwordPassword123in the Login interface, and tapLoginto go to the main interface."
（可选）首次使用时，执行如下操作登录控制软件并创建工程师或操作员用户：,"(Optional) For initial use, perform the following steps to log in to the control software and create an Engineer or Operator user:"
点击可重置对应用户的密码。,Tap to reset the password of the corresponding user.
点击可重置用户信息。,Tap to change the user profile such as the username and role.
点击可删除对应用户。,Tap to delete the corresponding user.
计算机初始用户名和密码信息如下：,The initial username and password are as follows:
解冻测序试剂槽及插件,Thawing the Sequencing Reagent Cartridge and Inserts
若使用以上试剂套装对stLFR文库或者其他文库进行测序，测序前需手动替换自定义引物（非测序试剂套装默认引物），具体参考DNBSEQ-T7+RS 基因测序仪系统操作指南。,"When using the above sequencing reagent sets for sequencing stLFR libraries or other libraries, custom primers (not the default primers in the sequencing reagent sets) need to be manually replaced before sequencing. For details, refer toDNBSEQ-T7+RS Genetic Sequencer System Guide."
输入用户名adminstrator和密码Password123，点击登录，进入主界面。,"Input the usernameadministratorand passwordPassword123in the Login interface, and tapLoginto go to the main interface."
点击>【注销】返回到登录界面。输入用户名adminstrator和密码Password123，点击登录，进入主界面。,"Input the usernameadministratorand passwordPassword123in the Login interface, and tapLoginto go to the main interface."
点击>【注销】返回到登录界面。在登录界面，输入用户名和密码，点击【登录】。,"Tap > [Log out] to return to the Login interface. Input the username and password, and tap [Log in] in the Login interface."
本快速操作指南用于指导快速使用DNBSEQ-T7+RS以及测序试剂套装。,This guide is used to provide guidance for the use of DNBSEQ-T7+RS genetic sequencer and applicable sequencing reagent sets.
在状态栏，选择启用。,"In the [Status] area, selectEnable."
如需进行测序，需使用上述步骤5创建的用户进行登录。,"To perform sequencing, you should log in to the control software with the Engineer or Operator user created in step 5."
管理员账号不可进行测序。,You cannot perform the sequencing procedures with the Administrator account logging in to the control software.
解冻插件,Thawing the Inserts
将载片在室温环境下放置30分钟即可使用，但不可超过24小时。,Place the flow cell with the vacuum packaging at room temperature for 30 min to 24 h.
此时勿拆开载片的真空包装袋。,Do not open the vacuum packaging at this moment.
在左侧系统设置区域点击更多>关机，在弹框中选择是。,"Tap More > Shut down in the left System settings area, and tap Yes in the pop-up dialog box."
在主界面点击右上角>设置，进入设置界面。,"Tap in the upper-right corner of the main interface, and select Settings to go to the Settings interface."
手工制备DNB,Making DNBs manually
Barcode文件,Barcode files
SE测序的MGI与App混测Barcode文件,MGI and App Barcode file for SE sequencing
PE测序的MGI与App混测Barcode文件,MGI and App Barcode file for PE sequencing
Barcode与DualBarcode文件,Barcode and DualBarcode files
例6 PE双Barcode测序，Barcode和DualBarcode测序前置,Example 6: Dual barcode PE sequencing with pre-barcode of Barcode and DualBarcode
需确保Barcode文件符合要求，且Barcode文件中的序列长度需和Barcode的读长设置保持一致，具体信息，参考。,"Ensure that the barcode file meets the requirements and that the sequence length in the file matches the barcode read-length setting. For details, refer to."
SE测序的MGI与App混测Barcode与DualBarcode文件,MGI and App Barcode and DualBarcode file for SE sequencing
如为手工制备DNB，勾选DNB。,"If the DNBs are prepared manually, selectDNB."
PE测序的MGI与App混测Barcode与DualBarcode文件,MGI and App Barcode and DualBarcode file for PE sequencing
时空组学DNB制备缓冲液,STO Make DNB Buffer
关于测序参数填写，如果使用非时空类型的试剂套装进行测序，请参考，如果使用时空可视化试剂套装进行测序，请参考。,"For details of performing sequencing using the High-throughput Sequencing Reagent Sets, refer to. For details of performing sequencing using the Stereo-seq Visualization Reagent Set, refer to."
需确保Barcode文件符合要求，且Barcode文件中的序列长度需和Barcode的读长设置保持一致，具体信息请参考。,"Ensure that the barcode file meets the requirements and that the sequence length in the file matches the barcode read-length setting. For details, refer to."
从插件试剂盒1中取出DNB聚合酶混合液Ⅰ（OS-V4.0）置于冰上约30分钟。,"Remove Make DNB Enzyme Mix I (OS-V4.0) from the Insert Kit 1, and thaw it on ice for approximately 30 min."
管盖颜色,Cap color
组分,Component
时空可视化试剂套装仅支持单barcode测序。,The Stereo-seq Visualization Reagent Set supports only single-barcode sequencing.
DNB聚合酶混合液Ⅰ（OS-V4.0）,Make DNB Enzyme Mix I (OS-V4.0)
请务必使用中推荐品牌的NaClO（分析纯）进行清洗试剂配制，否则将影响测序质量。,"Use NaClO (analytical grade) of the recommended brand described in to prepare the washing reagents. Otherwise, sequencing quality may be affected."
如手工制备DNB，勾选DNB。,"If the DNBs are prepared manually, selectDNB."
按照如下体积配制清洗试剂1，用于自动清洗、常规清洗和维护清洗。,"Prepare the washing reagent 1 according to the table below for the automatic wash, regular wash, or maintenance wash:"
请严格按照表中的添加顺序配制清洗试剂。,Prepare the washing reagents strictly according to the addition order described in the tables below.
因购买的NaClO溶液中的氯含量存在波动，建议按照试剂COA中实际氯含量进行计算，计算公式如下。,"However, the actual chlorine content of NaClO solutions from different vendors may vary. It is recommended that you calculate the volume of NaClO based on the actual chlorine content in the reagent's COA according to the following formula:"
下表中的NaClO溶液添加量均按照5%氯含量计算。,The volume of the NaClO solution is calculated based on the chlorine content of 5%.
N表示COA中氯含量。,Nrepresents the chlorine content in the reagent's COA.
用,volume
2 ℃~8 ℃避光储存7天,Store at 2 ℃ to 8 ℃ protected from light for 7 days
2 ℃~8 ℃储存1个月,Store at 2 °C to 8 °C for 1 month
体,volume
总,Total
N表示核苷酸平均数目（文库总片段长度，包括接头序列的长度）。,"Nrepresents the number of nucleotides (average library fragment length, including the adapter) as determined by fragment size analysis."
环化ssDNA浓度小于1 ng/μL时，建议取3 μL样本重新定量。,"When the concentration of the ssDNA libraries is less than 1 ng/μL, it is recommended that you take 3 μL of the ssDNA libraries for re-quantification."
自定义测序方案设置亦可参考。,"For custom sequencing recipe setup, please also refer to ."
初始环化ssDNA文库浓度要求,Initial concentration requirement for circularized ssDNA libraries
Truseq、Nextera,TruSeq and Nextera
如果文库浓度未知，建议使用Qubit Assay Kit和Qubit荧光定量仪定量出文库实际浓度（ng/μL）。,"If the library concentration is unknown, it is recommended that you quantify the dsDNA libraries (ng/μL) by using Qubit Assay Kit and the Qubit fluorometer."
如果非时空文库（环化ssDNA文库）浓度未知，建议使用Qubit Assay Kit和Qubit荧光定量仪定量出文库实际浓度（ng/μL）。,"If the non-spatial library (namely, circularized ssNDA library) concentration is unknown, it is recommended that you quantify the ssDNA libraries (ng/μL) by using Qubit Assay Kit and the Qubit fluorometer."
如果时空文库（dsDNA文库）浓度未知，建议使用Qubit Assay Kit和Qubit荧光定量仪定量出文库实际浓度（ng/μL）。,"If the spatial library (dsDNA library) concentration is unknown, it is recommended that you quantify the dsDNA libraries (ng/μL) by using Qubit Assay Kit and the Qubit fluorometer."
如dsDNA文库浓度不在要求范围，建议适当调整投入量后风险上机。,"If the concentration of the dsDNA libraries falls beyond the required range, it is recommended that you adjust the input volume and proceed with sequencing at risk."
初始dsDNA文库浓度要求,Initial concentration requirement for dsDNA libraries
根据下表，对未拆透明包装袋的测序试剂槽进行解冻：,Select the appropriate thawing method to thaw the Sequencing Reagent Cartridge with the plastic package according to the following table:
室温放置（h）,At room temperature (RT) (h)
室温水浴（h）,In a room temperature water bath (h)
解冻方法与时长,Thawing method and time
20 ℃ < 水浴温度 ≤ 25 ℃,20 ℃ < Water temp. ≤ 25 ℃
20 ℃ < 温度 ≤ 25 ℃,20 ℃ < RT ≤ 25 ℃
15 ℃ ≤ 温度≤ 20 ℃,15 ℃ ≤ RT ≤ 20 ℃
25 ℃ < 温度 ≤ 30 ℃,25 ℃ < RT ≤ 30 ℃
完全解冻后，使用无尘纸擦干透明包装袋上的水，在室温中上下颠倒混匀20次并静置30 s，再次上下颠倒混匀20次，再置于2 ℃~8 ℃冰箱暂存备用。,"After all reagents in the Sequencing Reagent Cartridge are fully thawed, thoroughly dry the package by using lint-free papers, invert the cartridge up and down 20 times at room temperature, keep it still for 30 s, invert it up and down for another 20 times to mix the reagents thoroughly, and then store it in the 2 ℃ to 8 ℃ refrigerator until use."
若多个试剂槽同时室温放置解冻，试剂槽需间隔20 cm以上，避免堆叠试剂槽导致解冻不完全。,"When thawing multiple cartridges at room temperature simultaneously, do not stack them and ensure that they are spaced apart at least 20 cm. Otherwise, incomplete thawing may occur."
若水浴解冻时试剂槽透明包装袋破损进水，请参考。,"If water ingresses into the cartridge's package during water bath thawing, perform the steps described in."
解冻时，切勿拆开试剂槽的透明包装袋，以降低槽体污染可能导致测序质量下降的风险。,"When thawing the cartridge, do not open the plastic package. Opening the package may cause contamination to the cartridge."
按照下图，用尖口吸头缓慢吸取348 μL pooling完成的DNB加入到制备插件的M1号孔位。,"As shown in the figure below, use a sharp pipette tip to slowly draw 348 μL of pooled DNBs into the well M1 of the Make Insert."
此时，请勿拆开试剂槽的透明包装袋。,"At this moment, do not open the transparent plastic packge of the cartridge."
加样制备插件（DNB）,Adding DNBs to the Make Insert
25 ℃ < 水浴温度 ≤ 30 ℃,25 ℃ < Water temp. ≤ 30 ℃
如无法立即将制备插件插入测序试剂槽进行测序，应盖上插件管盖，将制备插件置于,"If the Make Insert cannot be inserted into the Sequencing Reagent Cartridge for sequencing immediately, close the insert tube caps, and store the Make Insert in"
时空DNB制备反应混合液1,STO Make DNB reaction mixture 1
2 ℃~8 ℃冰箱内暂存。,the 2 ℃ to 8 ℃ refrigerator temporarily.
将时空DNB制备反应混合液1用涡旋振荡器振荡混匀，迷你离心机离心5 s，置于冰上备用。,"Mix the STO Make DNB reaction mixture 1 thoroughly by using the vortex mixer, centrifuge it briefly for 5 s by using the mini centrifuge, and place it on ice until use."
取用一个1.5 mL离心管，在冰上按照下表配制时空DNB制备反应混合液1：,"Take out a 1.5 mL centrifuge tube, and prepare STO Make DNB reaction mixture 1 on ice according to the following table:"
dsDNA文库,dsDNA libraries
测序前需移除管盖。,The tube cap should be removed before sequencing.
取出DNB聚合酶混合液Ⅱ（OS-V4.0)，短暂离心5 s，置于冰盒上备用。,"Remove Make DNB Enzyme Mix II (OS-V4.0) from storage, centrifuge it briefly for 5 s, and place it on ice until use."
从-25℃~-15℃储存环境中取出测序试剂盒，从测序试剂盒中取出测序试剂槽，拆除试剂槽的透明包装袋。,"Take out the Sequencing Reagent Kit from the -25℃ to -15℃ storage, remove the Sequencing Reagent Cartridge from the Sequencing Reagent Kit, and open the transparent plastic package of the cartridge."
从-25℃~-15℃储存环境中取出测序试剂盒，从测序试剂盒中取出测序试剂槽。,"Take out the Sequencing Reagent Kit from the -25℃ to -15℃ storage, and remove the Sequencing Reagent Cartridge from the Sequencing Reagent Kit."
加样制备插件（dsDNA文库）,Adding reagents to the Make Insert (for dsDNA libraries)
576 ng/载片,576 ng/flow cell
取出DNB聚合酶混合液Ⅱ（OS-V4.0），短暂离心5 s，置于冰上备用。,"Remove Make DNB Enzyme Mix II (OS-V4.0) from storage, centrifuge it briefly for 5 s, and place it on ice until use."
取用0.2 mL八联管或PCR管，按照下表配制时空DNB制备反应混合液1：,"Take out a 0.2 mL 8-strip tube or PCR tube, and prepare STO Make DNB reaction mixture 1 according to the table below:"
按照下图指示打开试剂槽上方的盖板，取出槽体内置的4个试剂瓶并拍照标记，根据下表的条件将试剂瓶进行水浴解冻。,"As indicated in the figure below, remove the top cover plate of the cartridge, take out the 4 reagent tubes built in the cartridge, photograph them for labeling, and thaw the tubes in a water bath according to the table below:"
在热盖升降温过程中，加热模块处于室温状态，且程序未运行。,"Throughout the thermal transition of the heated lid, the heating block is idle at ambient temperature, and the programmed protocol has not commenced."
取出解冻完成的试剂瓶，使用无尘纸擦干试剂瓶外的水分，按照下图指示将试剂瓶放回试剂槽内，盖上盖板。,"After thawing, take out the reagent tubes from the wate bath, dry the tubes by using lint-free papers, place the tubes back into the cartridge as indicated in the figure below, and replace the top cover plate."
将组装完成的试剂槽在室温中上下颠倒混匀20次并静置30 s，再次上下颠倒混匀20次，再置于2 ℃~8 ℃冰箱暂存备用。,"Invert the cartridge up and down 20 times at room temperature, keep it still for 30 s, invert it up and down for another 20 times to mix the reagents thoroughly, and then store it in the 2 ℃ to 8 ℃ refrigerator until use."
对于这种类型的PCR仪，需提前进行热盖预热，确保在进行DNB反应时热盖处于工作温度。,"For these types of thermal cyclers, pre-heating of the heated lid is required to ensure that the heated lid is at operating temperature during the DNB reactions."
试剂瓶水浴解冻时长（h）,Water bath thawing time (h)
20 ℃ ≤ 水浴温度 ≤ 30 ℃,20 ℃ ≤ Water temp. ≤ 30 ℃
解冻时长,Thawing time
水浴温度：37℃,Water temp.: 37 ℃
需确保Barcode文件符合要求，且Barcode文件中的序列长度需和Barcode的读长设置保持一致，具体信息，参考DNBSEQ-T7+RS 基因测序仪系统操作指南。,"Ensure that the barcode file meets the requirements and that the sequence length in the file matches the barcode read-length setting. For details, refer toDNBSEQ-T7+RS Genetic Sequencer System Guide."
对于App文库，以及其他自定义Barcode文库，在测序前需手动导入Barcode文件，具体信息，参考DNBSEQ-T7+RS 基因测序仪系统操作指南。,"For the App libraries and other customized barcode libraries, a barcode file should be manually imported before sequencing. For details, refer toDNBSEQ-T7+RS Genetic Sequencer System Guide."
对于App文库，以及其他自定义Barcode文库，在测序前需手动导入Barcode文件，具体信息，参考。,"For the App libraries and other customized barcode libraries, a barcode file should be manually imported before sequencing. For details, refer to."
多个型号读长的试剂瓶同时水浴解冻时，务必对试剂瓶进行标记，避免错放，导致测序失败。,"When thawing reagent tubes from multiple cartridges of different models in the same water bath simultaneously, ensure that you label them clearly to avoid misplacement and sequencing failures."
双Barcode测序支持Barcode和DualBarcode同时拆分、同时不拆分以及只拆分Barcode或DualBarcode，但是导入的Barcode文件必须都包含Barcode和DualBarcode序列。,"For dual barcode sequencing, four types of barcode splitting scenarios are supported: splitting of both Barcode and DualBarcode, non-splitting of both Barcode and DualBarcode, splitting of only Barcode, and splitting of only DualBarcode. However, the imported barcode file should contain both Barcode and DualBarcode sequences."
该内容不可包含特殊字符，否则输入框会变红。,"The run name cannot contain any special characters. Otherwise, the box will turn red."
点击测序方案信息框的，选择测序方案：,Tap in theRecipebox and select the recipe:
样本为其他常规文库，建议选择Default。,"If the samples are other conventional libraries, selectDefault."
样本中不包含WGBS文库，建议选择Default。,"If the samples do not contain WGBS libraries, selectDefault."
点击应用类型信息框的，选择应用类型：,Tap in theApplication typebox and select the application type.
如需使用自定义Barcode序列，点击上传Barcode文件，导入自定义Barcode文件。,"To use a customized barcode, tapUpload barcode file, and import the prepared customized barcode file."
具体操作，参考DNBSEQ-T7+RS 基因测序仪系统操作指南。,"For details, refer toDNBSEQ-T7+RS Genetic Sequencer System Guide."
新建的测序方案显示在自定义列表中。,The created recipes are displayed in the Customize list.
如为双Barcode测序，则勾选Barcode及DualBarcode。,"For dual barcode sequencing, selectBarcodeorDualBarcodeaccording to your actual need:"
设置Barcode,Setting the barcode
（可选）在DNB/文库ID文本框中填写DNB/文库ID。,(Optional) Input the library ID or DNB ID in theDNB/Library IDbox as required.
下机自动清洗：默认为是。,Auto wash: The default setting is Yes.
设置测序结束后是否进行自动清洗。,Set whether to perform an automatic wash after the sequencing run is completed.
如为双Barocde测序且只拆分DualBarocde，则勾选DualBarcode。,"If you need to split only DualBarcode in dual barcode sequencing, select onlyDualBarcode."
关于闲时分析的详情，参考DNBSEQ-T7+RS 基因测序仪系统操作指南。,"For details about the idle time analysis, refer toDNBSEQ-T7+RS Genetic Sequencer System Guide."
如选择否，则测序结束后需进行手动清洗。,"If you select No, you need to perform a wash manually after the sequencing run is completed."
选择此项时，表示使用默认过滤参数，获得符合质量和产量要求的数据。,"With this option selected, default filter parameters are used, and data that meets the quality and output requirements can be obtained."
标准过滤：适用于数据质量要求较高的应用场景。,Standard: Suitable for application scenarios with high data quality requirements.
远程分析：测序结束后启动远程分析。,Remote analysis: A remote analysis of the sequencing data will be launched after the sequencing run is completed.
闲时分析：测序结束后启动闲时分析。,Idle time analysis: A idle time analysis of the sequencing data will be launched after the sequencing run is completed.
关于闲时分析的详情，参考。,"For details about the idle time analysis, refer to."
设置测序结束后进行远程分析或闲时分析。,Set whether to perform a remote analysis or an idle time analysis after the sequencing run is completed.
当前版本的控制软件中，高产量过滤与标准过滤功能相同，均使用默认过滤参数，产出相同的数据。,"For the current version of the control software, High-yield has the same function as Standard, both using the default filter parameters and outputting the same data."
高产量过滤：适用于数据质量要求相对不高的应用场景。,High-yield: Suitable for application scenarios with relatively lower data quality requirements.
高产量过滤的实际功能将在下一版控制软件中实现。,The actual function ofHigh-yieldwill be implemented in the next version of the control software.
如为单Barcode测序且需进行拆分，勾选Barcode。,"For single barcode sequencing, if you need to split the barcodes, select Barcode."
选择此项时，表示使用相对宽松的过滤参数，获得更高量的数据产出。,"With this option selected, filter parameters with relatively relaxed requirements are used, and higher data output can be obtained."
分析任务设置,Selecting analysis type
确保应用类型信息框显示STO。在装载耗材界面装载完DNBSEQ-T7+RS时空可视化试剂盒中测序试剂槽后，应用类型信息框会根据输入的测序试剂槽ID信息自动显示STO。,Ensure that [STO] is displayed in theApplication Typebox. TheApplication Typebox automatically displaysSTObased on the Sequencing Reagent Cartridge ID that has been entered in the Load Consumables interface after the Sequencing Reagent Cartridge from the DNBSEQ-T7+RS Stereo-seq Visualization Reagent Kit is properly loaded.
应用类型信息框会根据装载耗材界面的时空可视化试剂盒ID信息自动显示为STO。,Ensure thatSTOis displayed in the [Application Type] box. TheApplication Typebox automatically displaysSTObased on the Sequencing Reagent Cartridge ID that has been entered in the Load Consumables interface after the Sequencing Reagent Cartridge from the DNBSEQ-T7+RS Stereo-seq Visualization Reagent Kit is properly loaded.
确保应用类型信息框显示STO。在装载耗材界面装载完会根据装载耗材界面的时空可视化试剂盒ID信息自动显示为STO。,Ensure thatSTOis displayed in the [Application Type] box. TheApplication Typebox automatically displaysSTObased on the Sequencing Reagent Cartridge ID that has been entered in the Load Consumables interface after the Sequencing Reagent Cartridge from the DNBSEQ-T7+RS Stereo-seq Visualization Reagent Kit is properly loaded.
如为双Barcode测序且只拆分Barcode，则勾选Barcode。,"If you need to split only the barcodes in dual barcode sequencing, select onlyBarcode."
不拆分Barcode则不勾选。   如需拆分Barcode和DualBarcode，则同时勾选两者。,"If if you do not need to split any barcodes, select neither of them. If you need to split both the bardoces and dual barcodes, select both of them."
如为双Barocde测序且只拆分DualBarocde，则勾选DualBarcode。,"If you need to split only the dual barcodes in dual barcode sequencing, select onlyDualBarcode."
仅首次进行该读长测序时需要自定义测序方案，若再次测序时采用相同的测序方案，可在自定义列表中查看并使用，无需再次设置。,"You should create these customized sequencing recipes before sequencing these libraries for the first time, and you can select these recipes for a next same sequencing run in the Customize list by tapping in the [Recipe] box."
点击测序方案信息框的，选择创建测序方案，按照下图信息进行自定义测序方案设置，并点击保存：,"Tap in theRecipebox and select theCreate recipe. Create customized sequencing recipes according to the figures below, and tap Save."
FFPE V1.1文库或FF V1.3文库或CITE V1.1-cDNA与CITE V1.1-ADT pooling文库自定义测序方案：一链读长50，二链读长100，barcode读长10，一链26-40循环暗反应。,"For FFPE V1.1 libraries, FF V1.3 libraries, or CITE V1.1-cDNA and CITE V1.1-ADT libraries, the length of [Read1] is set to [50] (dark cycle is 26 to 40), the length of [Read2] is set to [100], the length of [Barcode] is set to [10], and the dark reaction cycle for [Read1] is set to [26 ~ 40]."
FFPE V1.0文库的自定义测序方案：一链读长为25，二链读长为62，barcode读长为10，二链7-9循环暗反应。,"For FFPE V1.0 libraries, the length of [Read1] is set to [25], the length of [Read2] is set to [62], the length of [Barcode] is set to [10], and the dark reaction cycle for [Read2] is set to [7 ~ 9]."
仅需在首次进行该读长测序时自定义测序方案。再次进行相同测序时，可点击【测序方案】信息框的，从自定义列表中选择相同的测序方案。,"You should create these customized sequencing recipes before sequencing these libraries for the first time, and you can select the recipes for next same sequencing runs in the Customize list by tapping in the [Recipe] box."
选择是否拆分Barcode：时空文库为单Barcode文库，如需拆分，勾选Barcode。,"Select an option for [Split Barcode] according to the actual need: Spatial libraries are single-barcode libraries. If the barcode should be split , select Barcode."
点击Barcode信息框的，选择对应的Barcode文件。,Tap in theBarcodebox and select the corresponding barcode.
自定义测序方案设置亦可参考。,You can also create these customized sequencing recipes according to the descriptions in.
点击Barcode信息框的，选择Barcode序列。,Tap in theBarcodebox and select the corresponding barcode.
如果测序试剂槽透明包装袋进水，请执行以下操作：,"If water ingresses into the plastic package of the Sequencing Reagent Cartridge, perform the following steps:"
FFPE V1.1文库或FF V1.3文库或CITE V1.1-cDNA与CITE V1.1-ADT pooling文库自定义测序方案,"Recipe settings for FFPE V1.1 libraries, FF V1.3 libraries, or CITE V1.1-cDNA and CITE V1.1-ADT libraries"
FFPE V1.0文库自定义测序方案,Recipe settings for FFPE V1.0 libraries
装有时空DNB制备反应混合液1的PCR管冷却后使用迷你离心机离心5 s，在冰上将下表列出的试剂加入管中：,"After the PCR tube with the STO Make DNB reaction mixture 1 has cooled, centrifuge the tube briefly for 5 s by using the mini centrifuge, place it on ice, and add the reagents according to the table below:"
用涡旋振荡器振荡混匀，迷你离心机离心5 s，即刻置于PCR仪中，反应条件如下：,"Mix the mixture thoroughly by using the vortex mixer and centrifuge it briefly for 5 s by using the mini centrifuge. Then, place the PCR tube into the thermal cycler immediately and set the reaction conditions according to the table below for rolling circle amplification (RCA) reaction:"
拆开试剂槽的透明包装袋，使用无尘纸擦干试剂槽表面的水。,Remove the plastic package and dry the surface of the cartridge by using lint-free papers.
再次使用无尘纸将颠倒后的试剂槽表面擦干。,Dry the surface of the cartridge again by using lint-free papers.
将试剂槽缓慢上下颠倒10次。,Gently invert the cartridge up and down 10 times.
